RNA_Spot_ID,Y,X
1421,1267,1436
1422,1269,1083
1423,1269,1823
1424,1270,1324
1425,1271,1034
1426,1271,1856
1427,1273,1022
1428,1273,1489
1429,1274,1107
1430,1274,1363
1431,1274,1779
1432,1275,868
1433,1276,1069
1434,1276,1235
1435,1276,1337
1436,1277,1646
1437,1278,859
1438,1278,1202
1439,1278,1283
1440,1278,1302
1441,1278,1743
1442,1279,1603
1443,1281,1463
1444,1282,1000
1445,1282,1090
1446,1282,1349
1447,1282,1403
1448,1282,1527
1449,1283,1421
1450,1284,794
1451,1284,931
1452,1285,1542
1453,1286,1050
1454,1287,1389
1455,1288,1040
1456,1291,1502
1457,1292,1116
1458,1292,1246
1459,1293,1805
1460,1294,1433
1461,1294,1488
1462,1295,1022
1463,1298,694
1464,1297,863
1465,1297,898
1466,1297,1281
1467,1297,1473
1468,1298,1730
1469,1299,1063
1470,1299,1521
1471,1299,1750
1472,1299,1786
1473,1299,1825
1474,1299,1860
1475,1300,837
1476,1300,1271
1477,1301,1455
1478,1301,1655
1479,1303,1838
1480,1305,1490
1481,1306,1164
1482,1306,1442
1483,1306,1766
1484,1308,841
1485,1308,1385
1486,1308,1640
1487,1310,1045
1488,1312,1244
1489,1313,1344
1490,1315,1678
1491,1316,1257
1492,1316,1421
1493,1317,1715
1494,1318,1410
1495,1319,913
1496,1319,1783
1497,1321,1732
1498,1321,1560
1499,1325,54
1500,1326,1157
1501,1326,1642
1502,1327,896
1503,1328,1455
1504,1328,1834
1505,1329,1431
1506,1330,1403
1507,1331,1513
1508,1331,1547
1509,1332,1814
1510,1334,1183
1511,1336,1385
1512,1336,1706
1513,1337,948
1514,1337,1315
1515,1338,1478
1516,1339,1299
1517,1342,1507
1518,1343,1657
1519,1348,1057
1520,1347,1330
1521,1347,1580
1522,1347,1628
1523,1350,887
1524,1350,1010
1525,1351,1272
1526,1352,1220
1527,1352,1722
1528,1353,904
1529,1353,1449
1530,1354,866
1531,1354,1466
1532,1356,1136
1533,1356,1528
1534,1357,1365
1535,1357,1381
1536,1357,1572
1537,1359,1423
1538,1363,1061
1539,1364,1396
1540,1366,1490
1541,1366,1661
1542,1369,1053
1543,1369,1109
1544,1370,1528
1545,1370,1640
1546,1370,1733
1547,1371,986
1548,1372,1022
1549,1373,1609
1550,1374,1316
1551,1375,930
1552,1376,850
1553,1377,1102
1554,1377,1383
1555,1377,1543
1556,1378,1035
1557,1378,1121
1558,1378,1299
1559,1378,1624
1560,1380,1498
1561,1381,1278
1562,1382,1686
1563,1383,1096
1564,1383,1707
1565,1385,1398
1566,1387,1058
1567,1387,1249
1568,1388,1425
1569,1388,1449
1570,1388,1649
1571,1390,1672
1572,1391,1010
1573,1392,1079
1574,1392,1629
1575,1392,1743
1576,1393,1473
1577,1394,1490
1578,1396,1301
1579,1396,1325
1580,1400,1694
1581,1401,1348
1582,1402,1368
1583,1402,1406
1584,1403,1768
1585,1404,1057
1586,1406,1280
1587,1408,1602
1588,1409,1387
1589,1412,1550
1590,1414,1573
1591,1415,1656
1592,1416,1529
1593,1416,1632
1594,1417,1485
1595,1418,1356
1596,1418,1402
1597,1420,1098
1598,1420,1710
1599,1421,1468
1600,1423,1509
1601,1424,1294
1602,1425,1599
